ID_Activo,Clase,Categoría,Subcategoría,Institución,Nombre_Producto,Ticker,Identificador_Cuenta
prop_carmen_590,Activo,Activo Fijo,Propiedades,(N/A),carmen 590,,
prop_huanuco_2290,Activo,Activo Fijo,Propiedades,(N/A),huanuco 2290,,
apv_fintual,Activo,Activo Fijo,Apv,fintual,fintual,,
apv_soyfocus_b,Activo,Activo Fijo,Apv,soyfocus,jubilacion con apv - b,,
apv_soyfocus_a,Activo,Activo Fijo,Apv,soyfocus,jubilacion con apv - a,,
afp_habitat_obligatorio,Activo,Activo Fijo,Afp,habitat,ahorro obligatorio,,
cta_bice_vista,Activo,Circulante,Cuenta vista,banco bice,,,
cta_chile_vista,Activo,Circulante,Cuenta vista,banco chile,,,
cta_estado_vista,Activo,Circulante,Cuenta vista,banco estado,,,
cta_itau_vista,Activo,Circulante,Cuenta vista,banco itau,,,
cta_scotia_cte,Activo,Circulante,Cuenta corriente,banco scotiabank,,,
efectivo_cash,Activo,Circulante,Efectivo,cash,cash,,
div_global66_prepago,Activo,Circulante,Dolar,global66,tarjeta prepago,,
cta_bci_cte,Activo,Circulante,Cuenta corriente,banco bci,,,
etf_itau_cfmdivo,Activo,Inversión Líquida,Etf,banco itau,cfmdivo,cfmdivo,
acc_itau_enelchile,Activo,Inversión Líquida,Acción,banco itau,enelchile,enelchile,
ffm_itau_moneymarket,Activo,Inversión Líquida,Fondo,banco itau,money market,,
inv_betterplan_ahorro,Activo,Inversión Líquida,Cuenta ahorro,betterplan,,,
ffm_betterplan_conservador,Activo,Inversión Líquida,Fondo,betterplan,portafolio conservador,,
cta_consorcio_vista,Activo,Inversión Líquida,Cuenta vista,consorcio,cuenta mas,,
acc_renta4_cap,Activo,Inversión Líquida,Acción,renta4,cap,cap,
ffm_soyfocus_conservador,Activo,Inversión Líquida,Fondo,soyfocus,portafolio conservador,,
ffm_soyfocus_riesgo_oct24,Activo,Inversión Líquida,Fondo,soyfocus,oct 2024 alto riesgo,,
inv_estado_ahorro,Activo,Inversión Poco Líquida,Cuenta ahorro,banco estado,,,
ffm_betterplan_rentaclp,Activo,Inversión Poco Líquida,Fondo,betterplan,moneda renta clp,,
ffm_betterplan_toesca,Activo,Inversión Poco Líquida,Fondo,betterplan,toesca deuda privada,,
inv_coopeuch_cuotas,Activo,Inversión Poco Líquida,Cuotas de Participación,coopeuch,coopeuch,,
prestamo_n_badilla,Activo,Inversión Poco Líquida,Credito personal,nelson badilla,,,
prestamo_s_castro,Activo,Inversión Poco Líquida,Credito personal,sandor castro,,,
ffm_betterplan_largo_plazo,Activo,Inversión Poco Líquida,Fondo,betterplan,Portafolio moderado largo plazo,,
pas_bci_hipotecario,Pasivo,Pasivo a Largo Plazo,Credito hipotecario,banco bci,hipotecario,,
pas_coopeuch_hipotecario,Pasivo,Pasivo a Largo Plazo,Credito hipotecario,coopeuch,hipotecario,,
pas_bci_tdc_black,Pasivo,Pasivo Circulante,Tarjeta credito,banco bci,mastercard black,,
pas_cheque_pie_huanuco,Pasivo,Pasivo a Largo Plazo,Cheques,inmobiliaria activa,pie huanuco,,
pas_sii_impuestos,Pasivo,Pasivo a Largo Plazo,Impuestos,sii,27 bis 177 utm,,
ffm_soyfocus_arriesgado_2025,Activo,Inversión Líquida,Fondo,soyfocus,2025 octubre arriesgado,,
ffm_soyfocus_moderado_2025,Activo,Inversión Líquida,Fondo,soyfocus,2025 octubre moderado,,
apv_soyfocus_arriesgado_a_25,Activo,Activo Fijo,Apv,soyfocus,2025 octubre apv-a arriesgado - reg a,,
acc_itau_cencosud,Activo,Inversión Líquida,Acción,banco itau,cencosud,CENCOSUD,
acc_itau_habitat,Activo,Inversión Líquida,Acción,banco itau,habitat,HABITAT,
acc_itau_chile,Activo,Inversión Líquida,Acción,banco itau,banco de chile,CHILE,
etf_itau_cfietfcc,Activo,Inversión Líquida,Etf,banco itau,cfietfcc,CFIETFCC,
etf_itau_cfietfcd,Activo,Inversión Líquida,Etf,banco itau,cfietfcd,CFIETFCD,
etf_itau_cfietfge,Activo,Inversión Líquida,Etf,banco itau,cfietfge,CFIETFGE,
etf_itau_cfinasdaq,Activo,Inversión Líquida,Etf,banco itau,cfinasdaq,CFINASDAQ,
alt_betterplan_independencia,Activo,Inversión Poco Líquida,Fondo,betterplan,independencia rentas inmobiliarias,,
alt_betterplan_mbi,Activo,Inversión Poco Líquida,Fondo,betterplan,mbi deuda alternativa,,
alt_betterplan_ameris,Activo,Inversión Poco Líquida,Fondo,betterplan,ameris financiamiento corto plazo,,
cta_betterplan_caja,Activo,Caja para inversión,Caja para Inversión,betterplan,caja,,
ffm_bci_competitivo,Activo,Inversión Líquida,Fondo,banco bci,bci competitivo,,
cta_por_cobrar_servicios,Activo,Circulante,Cuentas por cobrar,Honorarios por cobrar,Boletas de servicios pendientes,,
acc_itau_bci,Activo,Inversión Líquida,Acción,banco bci,banco bci,BCI,
