ID_Activo,Fecha,Clase,Categoría,Subcategoría,Institución,Nombre_Producto,Moneda,Valor_Original,Tipo_Cambio_a_CLP,Valor_CLP,Ticker,Identificador_Cuenta,Detalle_Adicional
afp_habitat_obligatorio,16/4/2025,Activo,Activo Fijo,Afp,,habitat,CLP,43911757,1,43911757,,,
apv_fintual,16/4/2025,Activo,Activo Fijo,Apv,,fintual,CLP,2270252,1,2270252,,,
apv_soyfocus_a,16/4/2025,Activo,Activo Fijo,Apv,,soyfocus,CLP,10968882,1,10968882,,,
apv_soyfocus_b,16/4/2025,Activo,Activo Fijo,Apv,,soyfocus,CLP,2208377,1,2208377,,,
prop_huanuco_2290,16/4/2025,Activo,Activo Fijo,Propiedades,(N/A),huanuco 2290,CLP,92292317,1,92292317,,,
prop_carmen_590,16/4/2025,Activo,Activo Fijo,Propiedades,(N/A),carmen 590,CLP,90000000,39192,82303137,,,
cta_bice_vista,16/4/2025,Activo,Circulante,,,banco bice,CLP,102846,1,102846,,,
cta_estado_vista,16/4/2025,Activo,Circulante,,,banco estado,CLP,31176,1,31176,,,
cta_scotia_cte,16/4/2025,Activo,Circulante,,,banco scotiabank,CLP,1468242,1,1468242,,,
efectivo_cash,16/4/2025,Activo,Circulante,,,cash,CLP,100000,1,100000,,,
cta_bci_cte,16/4/2025,Activo,Circulante,Cuenta corriente,,banco bci,CLP,24439485,1,24439485,,,
ffm_betterplan_conservador,16/4/2025,Activo,Inversión Líquida,,,betterplan,CLP,30212385,1,30212385,,,
cta_consorcio_vista,16/4/2025,Activo,Inversión Líquida,,,consorcio,CLP,65328149,1,65328149,,,
inv_coopeuch_cuotas,16/4/2025,Activo,Inversión Líquida,,,cuotas de participacion coopeuch,CLP,442680,1,442680,,,
apv_fintual,16/4/2025,Activo,Inversión Líquida,,,fintual,CLP,4406321,1,4406321,,,
etf_itau_cfmdivo,16/4/2025,Activo,Inversión Líquida,,,banco itau,CLP,20785834,1,20785834,,,
acc_renta4_cap,16/4/2025,Activo,Inversión Líquida,,,renta4,CLP,2881546,1,2881546,,,
ffm_soyfocus_conservador,16/4/2025,Activo,Inversión Líquida,,,soyfocus,CLP,9995371,1,9995371,,,
afp_habitat_obligatorio,2/5/2025,Activo,Activo Fijo,Afp,,habitat,CLP,44970346,1,44970346,,,
apv_fintual,2/5/2025,Activo,Activo Fijo,Apv,,fintual,CLP,2366901,1,2366901,,,
apv_soyfocus_a,2/5/2025,Activo,Activo Fijo,Apv,,soyfocus,CLP,11218502,1,11218502,,,
apv_soyfocus_b,2/5/2025,Activo,Activo Fijo,Apv,,soyfocus,CLP,2258603,1,2258603,,,
prop_carmen_590,2/5/2025,Activo,Activo Fijo,Propiedades,(N/A),carmen 590,CLP,82085640,1,82085640,,,
prop_huanuco_2290,2/5/2025,Activo,Activo Fijo,Propiedades,(N/A),huanuco 2290,CLP,82085640,1,82085640,,,
cta_bice_vista,2/5/2025,Activo,Circulante,,,banco bice,CLP,27641,1,27641,,,
cta_chile_vista,2/5/2025,Activo,Circulante,,,banco chile,CLP,10000,1,10000,,,
cta_estado_vista,2/5/2025,Activo,Circulante,,,banco estado,CLP,4512,1,4512,,,
cta_scotia_cte,2/5/2025,Activo,Circulante,,,banco scotiabank,CLP,1412076,1,1412076,,,
efectivo_cash,2/5/2025,Activo,Circulante,,,cash,CLP,50000,1,50000,,,
cta_bci_cte,2/5/2025,Activo,Circulante,Cuenta corriente,,banco bci,CLP,1249908,1,1249908,,,
cta_consorcio_vista,2/5/2025,Activo,Inversión Líquida,,,consorcio,CLP,78065884,1,78065884,,,
inv_coopeuch_cuotas,2/5/2025,Activo,Inversión Líquida,,,coopeuch,CLP,442680,1,442680,,,
apv_fintual,2/5/2025,Activo,Inversión Líquida,,,fintual,CLP,4591874,1,4591874,,,
etf_itau_cfmdivo,2/5/2025,Activo,Inversión Líquida,Etf,banco itau,banco itau,CLP,12001565,1,12001565,banco itau,,
ffm_betterplan_conservador,2/5/2025,Activo,Inversión Líquida,Fondo,,betterplan,CLP,5029009,1,5029009,,,
ffm_itau_moneymarket,2/5/2025,Activo,Inversión Líquida,Fondo,,banco itau,CLP,19361602,1,19361602,,,
ffm_soyfocus_conservador,2/5/2025,Activo,Inversión Líquida,Fondo,,soyfocus,CLP,10038751,1,10038751,,,
acc_renta4_cap,2/5/2025,Activo,Inversión Líquida,Acción,,renta4,CLP,2321296,1,2321296,renta4,,
afp_habitat_obligatorio,17/5/2025,Activo,Activo Fijo,Afp,,habitat,CLP,43982085,1,43982085,,,
apv_fintual,17/5/2025,Activo,Activo Fijo,Apv,,fintual,CLP,2481190,1,2481190,,,
apv_soyfocus_a,17/5/2025,Activo,Activo Fijo,Apv,,soyfocus,CLP,10024903,1,10024903,,,
apv_soyfocus_b,17/5/2025,Activo,Activo Fijo,Apv,,soyfocus,CLP,2350056,1,2350056,,,
prop_huanuco_2290,17/5/2025,Activo,Activo Fijo,Propiedades,(N/A),huanuco 2290,CLP,82085640,1,82085640,,,
prop_carmen_590,17/5/2025,Activo,Activo Fijo,Propiedades,(N/A),carmen 590,CLP,82085640,1,82085640,,,
cta_bice_vista,17/5/2025,Activo,Circulante,,,banco bice,CLP,87030,1,87030,,,
cta_chile_vista,17/5/2025,Activo,Circulante,,,banco chile,CLP,2955,1,2955,,,
cta_estado_vista,17/5/2025,Activo,Circulante,,,banco estado,CLP,7522,1,7522,,,
cta_scotia_cte,17/5/2025,Activo,Circulante,,,banco scotiabank,CLP,696756,1,696756,,,
efectivo_cash,17/5/2025,Activo,Circulante,,,cash,CLP,50000,1,50000,,,
